排名,中文域名,Punycode,字数,词频,词性,英文释义,类别,综合推荐分,年费USD,注册周期年,购买验证链接,验证时间UTC,词典来源
270,海阔天空.com,xn--rss758btpjr10a.com,4,28,i,wide sea and sky (idiom); boundless open vistas; the whole wide world; chatting about everything under the sun,生活审美,91.8,11.25,1,https://vercel.com/domains/search?q=xn--rss758btpjr10a.com,2026-07-23T18:39:10.415Z,Jieba + CC-CEDICT
271,一气呵成.com,xn--4gq40ntwm8wj.com,4,84,i,to do something at one go; to flow smoothly,成语意象,91.8,11.25,1,https://vercel.com/domains/search?q=xn--4gq40ntwm8wj.com,2026-07-23T18:39:10.418Z,Jieba + CC-CEDICT
272,心怀.com,xn--15t4e.com,2,385,n,to harbor (thoughts); to cherish; to entertain (illusions),品质价值,91.8,11.25,1,https://vercel.com/domains/search?q=xn--15t4e.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
273,民心.com,xn--15tu7y.com,2,384,n,popular sentiment,品质价值,91.8,11.25,1,https://vercel.com/domains/search?q=xn--15tu7y.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
274,多姿多彩.com,xn--cssa00ep2n.com,4,82,i,diversity (of forms and colors),成语意象,91.7,11.25,1,https://vercel.com/domains/search?q=xn--cssa00ep2n.com,2026-07-23T18:39:10.415Z,Jieba + CC-CEDICT
275,同心同德.com,xn--dqra570glb.com,4,82,i,of one mind (idiom),品质价值,91.7,11.25,1,https://vercel.com/domains/search?q=xn--dqra570glb.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
276,脱颖而出.com,xn--79qz63idzaq89d.com,4,215,i,to reveal one's talent (idiom); to rise above others; to distinguish oneself,成语意象,91.7,11.25,1,https://vercel.com/domains/search?q=xn--79qz63idzaq89d.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
277,壮大.com,xn--2qs0e.com,2,929,a,to strengthen; to build up; to grow strong and large,通用品牌,91.6,11.25,1,https://vercel.com/domains/search?q=xn--2qs0e.com,2026-07-23T18:28:33.159Z,Jieba + CC-CEDICT
278,高瞻远瞩.com,xn--u5y9ax63kl7j.com,4,76,i,to stand tall and see far (idiom); taking the long and broad view; acute foresight,成语意象,91.6,11.25,1,https://vercel.com/domains/search?q=xn--u5y9ax63kl7j.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
279,胆子.com,xn--i8sr58f.com,2,887,n,courage; nerve; guts,通用品牌,91.6,11.25,1,https://vercel.com/domains/search?q=xn--i8sr58f.com,2026-07-23T18:28:33.159Z,Jieba + CC-CEDICT
280,豁然开朗.com,xn--h0tz3pbwig91a.com,4,73,i,suddenly opens up to a wide panorama (idiom); to come to a wide clearing; fig. everything becomes clear at once; to achieve speedy enlightenment,成语意象,91.5,11.25,1,https://vercel.com/domains/search?q=xn--h0tz3pbwig91a.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
281,问心无愧.com,xn--15tw4av7h5z4d.com,4,73,i,"lit. look into one's heart, no shame (idiom); with a clear conscience",品质价值,91.5,11.25,1,https://vercel.com/domains/search?q=xn--15tw4av7h5z4d.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
282,风光旖旎.com,xn--54q131cxa4033c.com,4,23,i,(idiom) idyllic scenery; picturesque landscape,生活审美,91.5,11.25,1,https://vercel.com/domains/search?q=xn--54q131cxa4033c.com,2026-07-23T18:39:10.410Z,Jieba + CC-CEDICT
283,恰到好处.com,xn--rcr59nmkp3u.com,4,197,i,it's just perfect; it's just right,成语意象,91.5,11.25,1,https://vercel.com/domains/search?q=xn--rcr59nmkp3u.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
284,名不虚传.com,xn--ihqzzf2jyw7d.com,4,194,i,(idiom) to live up to one's famous name; its reputation is well deserved,成语意象,91.4,11.25,1,https://vercel.com/domains/search?q=xn--ihqzzf2jyw7d.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
285,字数.com,xn--p8sw8u.com,2,831,n,number of written characters; number of words; word count,通用品牌,91.4,11.25,1,https://vercel.com/domains/search?q=xn--p8sw8u.com,2026-07-23T18:28:33.159Z,Jieba + CC-CEDICT
286,雨后春笋.com,xn--fqrw43buipepz.com,4,68,i,"lit. after rain, the spring bamboo (idiom); fig. rapid new growth; many new things emerge in rapid succession",生活审美,91.4,11.25,1,https://vercel.com/domains/search?q=xn--fqrw43buipepz.com,2026-07-23T18:36:19.168Z,Jieba + CC-CEDICT
287,眼色.com,xn--q2y22v.com,2,813,n,signal made with one's eyes; meaningful glance,生活审美,91.3,11.25,1,https://vercel.com/domains/search?q=xn--q2y22v.com,2026-07-23T18:28:33.159Z,Jieba + CC-CEDICT
288,头陀.com,xn--2ssq43l.com,2,798,n,itinerant monk (loanword from Sanskrit),通用品牌,91.3,11.25,1,https://vercel.com/domains/search?q=xn--2ssq43l.com,2026-07-23T18:28:33.159Z,Jieba + CC-CEDICT
289,风驰电掣.com,xn--ezuz40bd5z1mb.com,4,66,i,fast as lightning,生活审美,91.3,11.25,1,https://vercel.com/domains/search?q=xn--ezuz40bd5z1mb.com,2026-07-23T18:39:10.415Z,Jieba + CC-CEDICT
290,花团锦簇.com,xn--3bs677fgsebpv.com,4,66,i,brightly colored decorations (idiom); splendid,生活审美,91.3,11.25,1,https://vercel.com/domains/search?q=xn--3bs677fgsebpv.com,2026-07-23T18:39:10.414Z,Jieba + CC-CEDICT
291,眉清目秀.com,xn--c5w03qjcw2l.com,4,66,i,pretty; with delicate features,生活审美,91.2,11.25,1,https://vercel.com/domains/search?q=xn--c5w03qjcw2l.com,2026-07-23T18:39:10.415Z,Jieba + CC-CEDICT
292,较差.com,xn--nstq71i.com,2,786,a,range (the difference between the lowest and highest values),通用品牌,91.2,11.25,1,https://vercel.com/domains/search?q=xn--nstq71i.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
293,两全其美.com,xn--5hq82fhbz952a.com,4,65,i,to satisfy rival demands (idiom); to get the best of both worlds; to have it both ways; to have one's cake and eat it too,生活审美,91.2,11.25,1,https://vercel.com/domains/search?q=xn--5hq82fhbz952a.com,2026-07-23T18:36:19.168Z,Jieba + CC-CEDICT
294,善解人意.com,xn--gmq58nlxkq84b.com,4,65,i,to be good at understanding others (idiom),品质价值,91.1,11.25,1,https://vercel.com/domains/search?q=xn--gmq58nlxkq84b.com,2026-07-23T18:36:19.168Z,Jieba + CC-CEDICT
295,深谋远虑.com,xn--r4wy33cw6dxpe.com,4,64,i,lit. deep plans and distant thoughts; to plan far ahead (idiom),成语意象,91.1,11.25,1,https://vercel.com/domains/search?q=xn--r4wy33cw6dxpe.com,2026-07-23T18:36:19.168Z,Jieba + CC-CEDICT
296,大名鼎鼎.com,xn--eqrp2j5v6ea.com,4,174,i,grand reputation; renowned; famous,成语意象,91.1,11.25,1,https://vercel.com/domains/search?q=xn--eqrp2j5v6ea.com,2026-07-23T18:39:10.414Z,Jieba + CC-CEDICT
297,性情.com,xn--w8trn.com,2,755,n,nature; temperament,通用品牌,91.0,11.25,1,https://vercel.com/domains/search?q=xn--w8trn.com,2026-07-23T18:28:33.160Z,Jieba + CC-CEDICT
298,名将.com,xn--eqr88p.com,2,754,n,famous general; (sports) renowned athlete,通用品牌,91.0,11.25,1,https://vercel.com/domains/search?q=xn--eqr88p.com,2026-07-23T18:28:33.160Z,Jieba + CC-CEDICT
299,事宜.com,xn--3kq713a.com,2,754,n,matters; arrangements,通用品牌,91.0,11.25,1,https://vercel.com/domains/search?q=xn--3kq713a.com,2026-07-23T18:28:33.160Z,Jieba + CC-CEDICT
300,水到渠成.com,xn--rcrw00bqthj2b.com,4,62,i,"lit. where water flows, a canal is formed (idiom); fig. when conditions are right, success will follow naturally",成语意象,91.0,11.25,1,https://vercel.com/domains/search?q=xn--rcrw00bqthj2b.com,2026-07-23T18:39:10.415Z,Jieba + CC-CEDICT
301,声势.com,xn--ugrx7l.com,2,749,n,fame and power; prestige; influence; impetus; momentum,内容文化,90.9,11.25,1,https://vercel.com/domains/search?q=xn--ugrx7l.com,2026-07-23T18:28:33.160Z,Jieba + CC-CEDICT
302,天上.com,xn--fhqx4y.com,2,1256,s,the sky; the heavens,生活审美,90.9,11.25,1,https://vercel.com/domains/search?q=xn--fhqx4y.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
303,地壳.com,xn--cesw4b.com,2,744,n,the Earth's crust,通用品牌,90.9,11.25,1,https://vercel.com/domains/search?q=xn--cesw4b.com,2026-07-23T18:28:33.160Z,Jieba + CC-CEDICT
304,坚决.com,xn--67qq1l.com,2,3168,ad,firm; resolute; determined,通用品牌,90.8,11.25,1,https://vercel.com/domains/search?q=xn--67qq1l.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
305,重见天日.com,xn--rss490a241aozg.com,4,61,i,to see the light again (idiom); delivered from oppression,生活审美,90.8,11.25,1,https://vercel.com/domains/search?q=xn--rss490a241aozg.com,2026-07-23T18:39:10.415Z,Jieba + CC-CEDICT
306,变质.com,xn--vors74k.com,2,742,n,to degenerate; to deteriorate; (of food) to go bad; to go off; (geology) metamorphism,通用品牌,90.8,11.25,1,https://vercel.com/domains/search?q=xn--vors74k.com,2026-07-23T18:28:33.160Z,Jieba + CC-CEDICT
307,大纲.com,xn--pssq78f.com,2,739,n,synopsis; outline; program; leading principles,通用品牌,90.7,11.25,1,https://vercel.com/domains/search?q=xn--pssq78f.com,2026-07-23T18:28:33.160Z,Jieba + CC-CEDICT
308,因地制宜.com,xn--xcr96i4g89m.com,4,167,i,(idiom) to use methods in line with local circumstances,成语意象,90.7,11.25,1,https://vercel.com/domains/search?q=xn--xcr96i4g89m.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
309,富户.com,xn--1ct42m.com,2,732,n,rich family; large landlord,通用品牌,90.7,11.25,1,https://vercel.com/domains/search?q=xn--1ct42m.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
310,入学.com,xn--y5qt7v.com,2,732,n,to enter a school or college; to go to school for the first time as a child,通用品牌,90.7,11.25,1,https://vercel.com/domains/search?q=xn--y5qt7v.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
311,王位.com,xn--nqq769f.com,2,732,n,title of king; kingship,通用品牌,90.6,11.25,1,https://vercel.com/domains/search?q=xn--nqq769f.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
312,立竿见影.com,xn--p3tt22dqe649c.com,4,60,i,(lit.) set up a pole and immediately see its shadow (idiom); (fig.) to get instant results,内容文化,90.6,11.25,1,https://vercel.com/domains/search?q=xn--p3tt22dqe649c.com,2026-07-23T18:36:19.168Z,Jieba + CC-CEDICT
313,队友.com,xn--ior965m.com,2,731,n,teammate; fellow team member,通用品牌,90.6,11.25,1,https://vercel.com/domains/search?q=xn--ior965m.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
314,语族.com,xn--9fv816f.com,2,729,n,language branch,通用品牌,90.5,11.25,1,https://vercel.com/domains/search?q=xn--9fv816f.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
315,编钟.com,xn--5p0a045b.com,2,725,n,set of bells (old Chinese music instrument),通用品牌,90.5,11.25,1,https://vercel.com/domains/search?q=xn--5p0a045b.com,2026-07-23T18:36:19.164Z,Jieba + CC-CEDICT
316,士气.com,xn--zqsu95b.com,2,724,n,morale,通用品牌,90.5,11.25,1,https://vercel.com/domains/search?q=xn--zqsu95b.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
317,弃权.com,xn--k0tp7p.com,2,722,n,to waive a right; to abstain (from voting); (sports) to forfeit (a game); to voluntarily withdraw from a match,通用品牌,90.4,11.25,1,https://vercel.com/domains/search?q=xn--k0tp7p.com,2026-07-23T18:36:19.164Z,Jieba + CC-CEDICT
318,亲属.com,xn--7lq264a.com,2,721,n,kin; kindred; relatives,通用品牌,90.4,11.25,1,https://vercel.com/domains/search?q=xn--7lq264a.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
319,顺其自然.com,xn--g6qx78erolcjv.com,4,59,i,to let nature take its course (idiom),成语意象,90.4,11.25,1,https://vercel.com/domains/search?q=xn--g6qx78erolcjv.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
320,酒杯.com,xn--5rv654g.com,2,719,n,wine cup,通用品牌,90.4,11.25,1,https://vercel.com/domains/search?q=xn--5rv654g.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
321,现任.com,xn--boqt80g.com,2,719,n,"to occupy a post currently; current (president etc); incumbent; (coll.) current boyfriend (girlfriend, spouse)",通用品牌,90.3,11.25,1,https://vercel.com/domains/search?q=xn--boqt80g.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
322,郑重.com,xn--uf4akt.com,2,711,a,serious; solemn; earnest; conscientious,通用品牌,90.3,11.25,1,https://vercel.com/domains/search?q=xn--uf4akt.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
323,水土.com,xn--uds930c.com,2,708,n,water and soil; surface water; natural environment (extended meaning); climate,通用品牌,90.3,11.25,1,https://vercel.com/domains/search?q=xn--uds930c.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
324,窗户.com,xn--zoun65c.com,2,707,n,"window; CL:個|个[ge4],扇[shan4]",通用品牌,90.2,11.25,1,https://vercel.com/domains/search?q=xn--zoun65c.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
325,仔细.com,xn--6mqu28i.com,2,2997,ad,careful; attentive; cautious; to be careful; to look out; (dialect) thrifty; frugal,通用品牌,90.2,11.25,1,https://vercel.com/domains/search?q=xn--6mqu28i.com,2026-07-23T18:24:48.084Z,Jieba + CC-CEDICT
326,部件.com,xn--5nqq12n.com,2,700,n,part; component,通用品牌,90.2,11.25,1,https://vercel.com/domains/search?q=xn--5nqq12n.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
327,绚丽多彩.com,xn--viqs8xp4e2t0b.com,4,57,i,(idiom) bright and colorful; gorgeous; magnificent,成语意象,90.1,11.25,1,https://vercel.com/domains/search?q=xn--viqs8xp4e2t0b.com,2026-07-23T18:36:19.168Z,Jieba + CC-CEDICT
328,意味深长.com,xn--btr560az4jj03b.com,4,157,i,profound; significant; meaningful,成语意象,90.1,11.25,1,https://vercel.com/domains/search?q=xn--btr560az4jj03b.com,2026-07-23T18:39:10.415Z,Jieba + CC-CEDICT
329,疗效.com,xn--fcvx67a.com,2,692,n,healing efficacy; healing effect,商业价值,90.1,11.25,1,https://vercel.com/domains/search?q=xn--fcvx67a.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
330,朴实无华.com,xn--xkr56qdzi2kb.com,4,56,i,(idiom) simple; plain; unadorned,成语意象,90.1,11.25,1,https://vercel.com/domains/search?q=xn--xkr56qdzi2kb.com,2026-07-23T18:36:19.168Z,Jieba + CC-CEDICT
331,名列.com,xn--1brq1c.com,2,688,n,"to rank (number 1, or third last etc); to be among (those who are in a particular group)",通用品牌,90.0,11.25,1,https://vercel.com/domains/search?q=xn--1brq1c.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
332,兄长.com,xn--04q667n.com,2,686,n,elder brother; term of respect for a man of about the same age,通用品牌,90.0,11.25,1,https://vercel.com/domains/search?q=xn--04q667n.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
333,师徒.com,xn--ett37a.com,2,685,n,master and disciple,通用品牌,90.0,11.25,1,https://vercel.com/domains/search?q=xn--ett37a.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
334,体格.com,xn--tqq202d.com,2,679,n,bodily health; one's physical state; physique,通用品牌,89.9,11.25,1,https://vercel.com/domains/search?q=xn--tqq202d.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
335,出场.com,xn--79qv1k.com,2,677,n,(of a performer) to come onto the stage to perform; (of an athlete) to enter the arena to compete; (fig.) to enter the scene (e.g. a new product); (of an examinee etc) to leave the venue,通用品牌,89.9,11.25,1,https://vercel.com/domains/search?q=xn--79qv1k.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
336,短暂.com,xn--elvq10b.com,2,675,a,of short duration; brief; momentary,通用品牌,89.9,11.25,1,https://vercel.com/domains/search?q=xn--elvq10b.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
337,先令.com,xn--nnq01d.com,2,662,n,(loanword) shilling,通用品牌,89.8,11.25,1,https://vercel.com/domains/search?q=xn--nnq01d.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
338,波长.com,xn--0ww897f.com,2,661,n,wavelength,通用品牌,89.8,11.25,1,https://vercel.com/domains/search?q=xn--0ww897f.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
339,客场.com,xn--mes75h.com,2,660,n,away-game arena; away-game venue,通用品牌,89.8,11.25,1,https://vercel.com/domains/search?q=xn--mes75h.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
340,身临其境.com,xn--miq42fz9hny4d.com,4,53,i,(idiom) to experience it for oneself; to actually *be* there (as opposed to reading about it etc),成语意象,89.8,11.25,1,https://vercel.com/domains/search?q=xn--miq42fz9hny4d.com,2026-07-23T18:39:10.415Z,Jieba + CC-CEDICT
341,畸形.com,xn--92to50c.com,2,653,n,deformed; malformed; lopsided; unbalanced,通用品牌,89.7,11.25,1,https://vercel.com/domains/search?q=xn--92to50c.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
342,平坦.com,xn--vfsx7n.com,2,653,a,level; even; smooth; flat,通用品牌,89.7,11.25,1,https://vercel.com/domains/search?q=xn--vfsx7n.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
343,动身.com,xn--6fro01l.com,2,649,n,to go on a journey; to leave,通用品牌,89.7,11.25,1,https://vercel.com/domains/search?q=xn--6fro01l.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
344,容貌.com,xn--ict294i.com,2,647,n,one's appearance; one's aspect; looks; features,通用品牌,89.6,11.25,1,https://vercel.com/domains/search?q=xn--ict294i.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
345,心心相印.com,xn--wlrr00aa878u.com,4,52,i,two hearts beat as one (idiom); a kindred spirit,品质价值,89.6,11.25,1,https://vercel.com/domains/search?q=xn--wlrr00aa878u.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
346,别名.com,xn--mcrt9b.com,2,646,a,alias; alternative name,通用品牌,89.6,11.25,1,https://vercel.com/domains/search?q=xn--mcrt9b.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
347,淋漓尽致.com,xn--9ft712be2an91c.com,4,145,i,lit. extreme saturation (idiom); fig. vividly and thoroughly; in great detail; without restraint; (of a performance) brilliant,成语意象,89.5,11.25,1,https://vercel.com/domains/search?q=xn--9ft712be2an91c.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
348,有条不紊.com,xn--ihqx22dthaz87e.com,4,145,i,regular and thorough (idiom); methodically arranged,成语意象,89.5,11.25,1,https://vercel.com/domains/search?q=xn--ihqx22dthaz87e.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
349,构件.com,xn--5nq811d.com,2,642,n,member; component; part,通用品牌,89.5,11.25,1,https://vercel.com/domains/search?q=xn--5nq811d.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
350,甲板.com,xn--msvv81a.com,2,641,n,deck (of a ship or boat),通用品牌,89.5,11.25,1,https://vercel.com/domains/search?q=xn--msvv81a.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
351,折子.com,xn--i8s52o.com,2,638,n,folding notebook; accounts book,通用品牌,89.4,11.25,1,https://vercel.com/domains/search?q=xn--i8s52o.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
352,繁多.com,xn--css977f.com,2,637,a,many and varied; of many different kinds,通用品牌,89.4,11.25,1,https://vercel.com/domains/search?q=xn--css977f.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
353,出口成章.com,xn--79q79bc9x79x.com,4,51,i,(idiom) (of one's speech) eloquent; articulate,成语意象,89.4,11.25,1,https://vercel.com/domains/search?q=xn--79q79bc9x79x.com,2026-07-23T18:39:10.415Z,Jieba + CC-CEDICT
354,警官.com,xn--kbt752i.com,2,636,n,constable; police officer,通用品牌,89.3,11.25,1,https://vercel.com/domains/search?q=xn--kbt752i.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
355,整治.com,xn--odvx5n.com,2,635,n,to bring under control; to regulate; to restore to good condition; (coll.) to fix (a person); to prepare (a meal etc),通用品牌,89.3,11.25,1,https://vercel.com/domains/search?q=xn--odvx5n.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
356,悬殊.com,xn--pduv5v.com,2,629,a,vastly different; poles apart,通用品牌,89.3,11.25,1,https://vercel.com/domains/search?q=xn--pduv5v.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
357,细细.com,xn--vn0aa.com,2,628,a,attentive; careful,通用品牌,89.2,11.25,1,https://vercel.com/domains/search?q=xn--vn0aa.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
358,习以为常.com,xn--siq7cvsh02c.com,4,141,i,accustomed to; used to,成语意象,89.2,11.25,1,https://vercel.com/domains/search?q=xn--siq7cvsh02c.com,2026-07-23T18:39:10.415Z,Jieba + CC-CEDICT
359,约定俗成.com,xn--luqp00a27ejl7a.com,4,49,i,established by popular usage (idiom); common usage agreement; customary convention,成语意象,89.2,11.25,1,https://vercel.com/domains/search?q=xn--luqp00a27ejl7a.com,2026-07-23T18:39:10.415Z,Jieba + CC-CEDICT
360,全称.com,xn--15qz10h.com,2,612,n,full name,通用品牌,89.2,11.25,1,https://vercel.com/domains/search?q=xn--15qz10h.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
361,惊动.com,xn--6frt24a.com,2,611,a,to alarm; to startle; to disturb,通用品牌,89.1,11.25,1,https://vercel.com/domains/search?q=xn--6frt24a.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
362,坚固.com,xn--scspi.com,2,610,a,firm; firmly; hard; stable,通用品牌,89.1,11.25,1,https://vercel.com/domains/search?q=xn--scspi.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
363,积雪.com,xn--hnzn70d.com,2,607,n,snow; snow cover; snow mantle,通用品牌,89.1,11.25,1,https://vercel.com/domains/search?q=xn--hnzn70d.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
364,刮目相看.com,xn--pcrv90g4a2e.com,4,136,i,to have a whole new level of respect for sb or sth; to sit up and take notice (of sb's improved performance etc),成语意象,89.0,11.25,1,https://vercel.com/domains/search?q=xn--pcrv90g4a2e.com,2026-07-23T18:39:10.415Z,Jieba + CC-CEDICT
365,省城.com,xn--uisx93e.com,2,604,n,provincial capital,通用品牌,89.0,11.25,1,https://vercel.com/domains/search?q=xn--uisx93e.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
366,矿藏.com,xn--b8yq80a.com,2,596,n,mineral resources,通用品牌,89.0,11.25,1,https://vercel.com/domains/search?q=xn--b8yq80a.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
367,存储器.com,xn--k0qz3lkue.com,3,245,n,memory (computing),科技产品,88.9,11.25,1,https://vercel.com/domains/search?q=xn--k0qz3lkue.com,2026-07-23T18:42:16.249Z,Jieba + CC-CEDICT
368,言而有信.com,xn--vuq677c2vrg9i.com,4,47,i,to speak and keep one's promise (idiom); as good as one's word,品质价值,88.9,11.25,1,https://vercel.com/domains/search?q=xn--vuq677c2vrg9i.com,2026-07-23T18:36:19.168Z,Jieba + CC-CEDICT
369,关头.com,xn--d6qw2q.com,2,592,n,juncture; moment,通用品牌,88.9,11.25,1,https://vercel.com/domains/search?q=xn--d6qw2q.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
370,外援.com,xn--7rsu6w.com,2,592,n,foreign aid; external aid; (sports) foreign player; player recruited from overseas,通用品牌,88.9,11.25,1,https://vercel.com/domains/search?q=xn--7rsu6w.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
371,公道.com,xn--55q864m.com,2,590,n,justice; fairness; public highway,通用品牌,88.8,11.25,1,https://vercel.com/domains/search?q=xn--55q864m.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
372,泥土.com,xn--udsp02c.com,2,587,n,earth; soil; mud; clay,通用品牌,88.8,11.25,1,https://vercel.com/domains/search?q=xn--udsp02c.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
373,大功.com,xn--xfrv5m.com,2,586,n,great merit; great service,通用品牌,88.8,11.25,1,https://vercel.com/domains/search?q=xn--xfrv5m.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
374,飞舞.com,xn--cd1aw97b.com,2,585,n,to flutter; to dance in the breeze,通用品牌,88.7,11.25,1,https://vercel.com/domains/search?q=xn--cd1aw97b.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
375,真心实意.com,xn--qbt59gr2ao30d.com,4,84,l,(idiom) genuine; sincere; wholehearted,品质价值,88.7,11.25,1,https://vercel.com/domains/search?q=xn--qbt59gr2ao30d.com,2026-07-23T18:39:10.413Z,Jieba + CC-CEDICT
376,客车.com,xn--ubtq81j.com,2,583,n,coach; bus; passenger train,通用品牌,88.7,11.25,1,https://vercel.com/domains/search?q=xn--ubtq81j.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
377,惊醒.com,xn--keuv99h.com,2,582,a,to rouse; to be woken by sth; to wake with a start; to sleep lightly,通用品牌,88.6,11.25,1,https://vercel.com/domains/search?q=xn--keuv99h.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
378,字样.com,xn--p8so31a.com,2,582,n,"model or template character; written slogan or phrase; mention (e.g. ""air mail"" 航空 on a letter, ""first draft"" 初稿 on a document etc)",通用品牌,88.6,11.25,1,https://vercel.com/domains/search?q=xn--p8so31a.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
379,好歹.com,xn--5us813b.com,2,578,n,good and bad; most unfortunate occurrence; in any case; whatever,通用品牌,88.6,11.25,1,https://vercel.com/domains/search?q=xn--5us813b.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
380,田地.com,xn--cesz11e.com,2,576,n,field; farmland; cropland; plight; extent,通用品牌,88.6,11.25,1,https://vercel.com/domains/search?q=xn--cesz11e.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
381,人次.com,xn--gmq550e.com,2,575,n,person-times; visits; classifier for number of people participating,通用品牌,88.5,11.25,1,https://vercel.com/domains/search?q=xn--gmq550e.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
382,庄稼.com,xn--xwty03d.com,2,575,n,farm crop,通用品牌,88.5,11.25,1,https://vercel.com/domains/search?q=xn--xwty03d.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
383,见多识广.com,xn--css88jfz8beyb.com,4,128,i,(idiom) experienced and knowledgeable,成语意象,88.5,11.25,1,https://vercel.com/domains/search?q=xn--css88jfz8beyb.com,2026-07-23T18:36:19.168Z,Jieba + CC-CEDICT
384,深思熟虑.com,xn--m8ts12a1ycrz3a.com,4,128,i,mature reflection; after careful deliberations,成语意象,88.4,11.25,1,https://vercel.com/domains/search?q=xn--m8ts12a1ycrz3a.com,2026-07-23T18:39:10.415Z,Jieba + CC-CEDICT
385,救济.com,xn--ocvt1p.com,2,571,n,emergency relief; to help the needy with cash or goods,通用品牌,88.4,11.25,1,https://vercel.com/domains/search?q=xn--ocvt1p.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
